Link,Scenario No,Start Day,End Day,Start Time in Min,End Time in min,Toll for Demand Type 1,Toll for Demand Type 2,Toll for Demand Type 3,Toll for Demand Type 4,Toll for Demand Type 5,Toll for Demand Type 6,Toll for Demand Type 7,
"[7508,7306]",0,1,100,1140,1440,0.11,0.11,0.11,0.11,0.11,0.11,0.11,
"[10485,15113]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15106,15140]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15107,15112]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15109,15106]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15111,15109]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15112,15115]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15113,15111]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15115,15118]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15118,15121]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15119,10485]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15121,15124]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15123,15119]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15124,15126]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15125,15123]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15126,15129]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15127,15125]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15129,15132]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15129,15132]",0,1,100,300,1440,0.80,0.00,0.80,0.00,0.00,0.00,0.00,
"[15131,15127]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15140,15144]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15141,15107]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15143,15145]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15144,15142]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15145,15141]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15394,15413]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15395,15397]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15396,15394]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15397,15399]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15398,15396]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15413,15416]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15414,15395]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15416,15418]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15417,15414]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15418,15421]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
